aba	a . b a
dikgolegelo	d i . k͡x ʊ . l ɪ . x ɪ . l ʊ
dikgolegelong	d i . k͡x ʊ . l ɪ . x ɪ . l ʊ . ŋ
dikgolo	d i . k͡x ʊ . l ʊ
dikgologolo	d i . k͡x ʊ . l ʊ . x ʊ . l ʊ
dikgolokgolo	d i . k͡x ʊ . l ʊ . k͡x ʊ . l ʊ
dikgololosego	d i . k͡x ʊ . l ʊ . l ʊ . s ɪ . x ʊ
dikgolwane	d i . k͡x ʊ . l w a . n ɪ
dikgomo	d i . k͡x ʊ . m ʊ
dikgomong	d i . k͡x ʊ . m ʊ . ŋ
dikgonagalo	d i . k͡x ʊ . n a . x a . l ʊ
dikgonegalo	d i . k͡x ʊ . n ɪ . x a . l ʊ
dikgonego	d i . k͡x ʊ . n ɪ . x ʊ
dikgong	d i . k͡x ʊ . ŋ
dikgono	d i . k͡x ʊ . n ʊ
dikgonong	d i . k͡x ʊ . n ʊ . ŋ
dikgopo	d i . k͡x ʊ . pʼ ʊ
dikgopolo	d i . k͡x ʊ . pʼ ʊ . l ʊ
dikgopolotheo	d i . k͡x ʊ . pʼ ʊ . l ʊ . tʰ ɪ . ʊ
dikgopolotheu	d i . k͡x ʊ . pʼ ʊ . l ʊ . tʰ ɪ . u
dikgora	d i . k͡x ʊ . r a
dikgoreletsi	d i . k͡x ʊ . r ɪ . l ɪ . t͡sʼ i
dikgoreletso	d i . k͡x ʊ . r ɪ . l ɪ . t͡sʼ ʊ
dikgoro	d i . k͡x ʊ . r ʊ
dikgoropa	d i . k͡x ʊ . r ʊ . pʼ a
dikgoropeng	d i . k͡x ʊ . r ʊ . pʼ ɪ . ŋ
dikgosana	d i . k͡x ʊ . s a . n a
dikgosaneng	d i . k͡x ʊ . s a . n ɪ . ŋ
dikgosi	d i . k͡x ʊ . s i
dikgosigadi	d i . k͡x ʊ . s i . x a . d i
dikgotla	d i . k͡x ʊ . t͡lʼ a
dikgotlang	d i . k͡x ʊ . t͡lʼ a . ŋ
dikgotlannyeng	d i . k͡x ʊ . t͡lʼ a . n . ɲ ɪ . ŋ
dikgotlapeomolao	d i . k͡x ʊ . t͡lʼ a . pʼ ɪ . ʊ . m ʊ . l a . ʊ
dikgotlatshekelo	d i . k͡x ʊ . t͡lʼ a . t͡sʰ ɪ . kʼ ɪ . l ʊ
dikgotlatshekelokgolo	d i . k͡x ʊ . t͡lʼ a . t͡sʰ ɪ . kʼ ɪ . l ʊ . k͡x ʊ . l ʊ
dikgotlatshekelong	d i . k͡x ʊ . t͡lʼ a . t͡sʰ ɪ . kʼ ɪ . l ʊ . ŋ
dikgotlatshekeo	d i . k͡x ʊ . t͡lʼ a . t͡sʰ ɪ . kʼ ɪ . ʊ
dikgotledi	d i . k͡x ʊ . t͡lʼ ɪ . d i
dikgotleng	d i . k͡x ʊ . t͡lʼ ɪ . ŋ
dikgotlhang	d i . k͡x ʊ . t͡lʰ a . ŋ
dikgotlhannyeng	d i . k͡x ʊ . t͡lʰ a . n . ɲ ɪ . ŋ
dikgotlhano	d i . k͡x ʊ . t͡lʰ a . n ʊ
dikgotlhatshekelo	d i . k͡x ʊ . t͡lʰ a . t͡sʰ ɪ . kʼ ɪ . l ʊ
dikgotlhedi	d i . k͡x ʊ . t͡lʰ ɪ . d i
dikgoto	d i . k͡x ʊ . tʼ ʊ
dikgotsi	d i . k͡x ʊ . t͡sʼ i
dikgwa	d i . k͡x w a
dikgwageng	d i . k͡x w a . x ɪ . ŋ
dikgwagetsi	d i . k͡x w a . x ɪ . t͡sʼ i
dikgwebisano	d i . k͡x w ɪ . b i . s a . n ʊ
dikgwebo	d i . k͡x w ɪ . b ʊ
dikgwebokgolo	d i . k͡x w ɪ . b ʊ . k͡x ʊ . l ʊ
dikgwebong	d i . k͡x w ɪ . b ʊ . ŋ
dikgwebopotlana	d i . k͡x w ɪ . b ʊ . pʼ ʊ . t͡lʼ a . n a
dikgwebotemothuo	d i . k͡x w ɪ . b ʊ . tʼ ɪ . m ʊ . tʰ u . ʊ
dikgwedi	d i . k͡x w ɪ . d i
dikgweding	d i . k͡x w ɪ . d i . ŋ
dikgweng	d i . k͡x w ɪ . ŋ
dikgwetlho	d i . k͡x w ɪ . t͡lʰ ʊ
dikgwetlhong	d i . k͡x w ɪ . t͡lʰ ʊ . ŋ
dikhabara	d i . kʰ a . b a . r a
dikhamphase	d i . kʰ a . m . pʰ a . s ɪ
dikhamphaseng	d i . kʰ a . m . pʰ a . s ɪ . ŋ
dikhansele	d i . kʰ a . n . s ɪ . l ɪ
dikhanseleng	d i . kʰ a . n . s ɪ . l ɪ . ŋ
dikhatone	d i . kʰ a . tʼ ʊ . n ɪ
dikhemisi	d i . kʰ ɪ . m i . s i
dikhibidu	d i . kʰ i . b i . d u
dikholetšhe	d i . kʰ ʊ . l ɪ . t͡ʃʰ ɪ
dikholetšheng	d i . kʰ ʊ . l ɪ . t͡ʃʰ ɪ . ŋ
dikholomo	d i . kʰ ʊ . l ʊ . m ʊ
dikholomong	d i . kʰ ʊ . l ʊ . m ʊ . ŋ
dikhomišene	d i . kʰ ʊ . m i . ʃ ɪ . n ɪ
dikhomiti	d i . kʰ ʊ . m i . tʼ i
dikhoso	d i . kʰ ʊ . s ʊ
dikhosokatiso	d i . kʰ ʊ . s ʊ . kʼ a . tʼ i . s ʊ
dikhosong	d i . kʰ ʊ . s ʊ . ŋ
dikhotheišene	d i . kʰ ʊ . tʰ ɪ . i . ʃ ɪ . n ɪ
dikhouto	d i . kʰ ʊ . u . tʼ ʊ
dikhoutu	d i . kʰ ʊ . u . tʼ u
dikhubiki	d i . kʰ u . b i . kʼ i
dikhuduego	d i . kʰ u . d u . ɪ . x ʊ
dikhukhwane	d i . kʰ u . kʰ w a . n ɪ
dikhumo	d i . kʰ u . m ʊ
dikhurumelo	d i . kʰ u . r u . m ɪ . l ʊ
dikhurumetsathipa	d i . kʰ u . r u . m ɪ . t͡sʼ a . tʰ i . pʼ a
dikhuti	d i . kʰ u . tʼ i
dikhutlhwaneng	d i . kʰ u . t͡lʰ w a . n ɪ . ŋ
dikhutlo	d i . kʰ u . t͡lʼ ʊ
dikhutlong	d i . kʰ u . t͡lʼ ʊ . ŋ
dikhutsana	d i . kʰ u . t͡sʼ a . n a
dikhutshwane	d i . kʰ u . t͡sʰ w a . n ɪ
dikhutshwe	d i . kʰ u . t͡sʰ w ɪ
dikhutswafatso	d i . kʰ u . t͡sʼ w a . f a . t͡sʼ ʊ
dikiletso	d i . kʼ i . l ɪ . t͡sʼ ʊ
dikiletsong	d i . kʼ i . l ɪ . t͡sʼ ʊ . ŋ
dikinane	d i . kʼ i . n a . n ɪ
dikitsiso	d i . kʼ i . t͡sʼ i . s ʊ
dikobe	d i . kʼ ʊ . b ɪ
dikobelo	d i . kʼ ʊ . b ɪ . l ʊ
dikobo	d i . kʼ ʊ . b ʊ
dikobong	d i . kʼ ʊ . b ʊ . ŋ
dikokelo	d i . kʼ ʊ . kʼ ɪ . l ʊ
dikoketsego	d i . kʼ ʊ . kʼ ɪ . t͡sʼ ɪ . x ʊ
dikoketso	d i . kʼ ʊ . kʼ ɪ . t͡sʼ ʊ
dikokoano	d i . kʼ ʊ . kʼ ʊ . a . n ʊ
dikokoanyo	d i . kʼ ʊ . kʼ ʊ . a . ɲ ʊ
dikoko	d i . kʼ ʊ . kʼ ʊ
dikokomana	d i . kʼ ʊ . kʼ ʊ . m a . n a
dikokomane	d i . kʼ ʊ . kʼ ʊ . m a . n ɪ
dikokomaneng	d i . kʼ ʊ . kʼ ʊ . m a . n ɪ . ŋ
dikokwana	d i . kʼ ʊ . kʼ w a . n a
dikolobe	d i . kʼ ʊ . l ʊ . b ɪ
dikolobeng	d i . kʼ ʊ . l ʊ . b ɪ . ŋ
dikolo	d i . kʼ ʊ . l ʊ
dikologa	d i . kʼ ʊ . l ʊ . x a
dikologang	d i . kʼ ʊ . l ʊ . x a . ŋ
dikologe	d i . kʼ ʊ . l ʊ . x ɪ
dikologileng	d i . kʼ ʊ . l ʊ . x i . l ɪ . ŋ
dikoloi	d i . kʼ ʊ . l ʊ . i
dikoloing	d i . kʼ ʊ . l ʊ . i . ŋ
dikolometara	d i . kʼ ʊ . l ʊ . m ɪ . tʼ a . r a
dikolong	d i . kʼ ʊ . l ʊ . ŋ
dikoloni	d i . kʼ ʊ . l ʊ . n i
dikolosa	d i . kʼ ʊ . l ʊ . s a
dikolosiwa	d i . kʼ ʊ . l ʊ . s i . w a
dikoloto	d i . kʼ ʊ . l ʊ . tʼ ʊ
dikolotong	d i . kʼ ʊ . l ʊ . tʼ ʊ . ŋ
dikomelelo	d i . kʼ ʊ . m ɪ . l ɪ . l ʊ
dikomiting	d i . kʼ ʊ . m i . tʼ i . ŋ
dikomitipotlana	d i . kʼ ʊ . m i . tʼ i . pʼ ʊ . t͡lʼ a . n a
dikonopo	d i . kʼ ʊ . n ʊ . pʼ ʊ
dikonterakeng	d i . kʼ ʊ . n . tʼ ɪ . r a . kʼ ɪ . ŋ
dikonyana	d i . kʼ ʊ . ɲ a . n a
dikopano	d i . kʼ ʊ . pʼ a . n ʊ
dikopanong	d i . kʼ ʊ . pʼ a . n ʊ . ŋ
dikopantsho	d i . kʼ ʊ . pʼ a . n . t͡sʰ ʊ
dikopanyo	d i . kʼ ʊ . pʼ a . ɲ ʊ
dikopelo	d i . kʼ ʊ . pʼ ɪ . l ʊ
dikopi	d i . kʼ ʊ . pʼ i
dikopo	d i . kʼ ʊ . pʼ ʊ
dikopoforomo	d i . kʼ ʊ . pʼ ʊ . f ʊ . r ʊ . m ʊ
dikopong	d i . kʼ ʊ . pʼ ʊ . ŋ
dikopotiro	d i . kʼ ʊ . pʼ ʊ . tʼ i . r ʊ
dikopotuelo	d i . kʼ ʊ . pʼ ʊ . tʼ u . ɪ . l ʊ
dikoropolapa	d i . kʼ ʊ . r ʊ . pʼ ʊ . l a . pʼ a
dikota	d i . kʼ ʊ . tʼ a
dikotla	d i . kʼ ʊ . t͡lʼ a
dikotlannye	d i . kʼ ʊ . t͡lʼ a . n . ɲ ɪ
dikotlhano	d i . kʼ ʊ . t͡lʰ a . n ʊ
dikotlhao	d i . kʼ ʊ . t͡lʰ a . ʊ
dikotlo	d i . kʼ ʊ . t͡lʼ ʊ
dikotlolo	d i . kʼ ʊ . t͡lʼ ʊ . l ʊ
dikoto	d i . kʼ ʊ . tʼ ʊ
dikotsi	d i . kʼ ʊ . t͡sʼ i
dikotsing	d i . kʼ ʊ . t͡sʼ i . ŋ
dikuane	d i . kʼ u . a . n ɪ
dikudumedi	d i . kʼ u . d u . m ɪ . d i
dikudumeding	d i . kʼ u . d u . m ɪ . d i . ŋ
dikuku	d i . kʼ u . kʼ u
dikumo	d i . kʼ u . m ʊ
dikumong	d i . kʼ u . m ʊ . ŋ
dikungo	d i . kʼ u . ŋ ʊ
dikuno	d i . kʼ u . n ʊ
dikunong	d i . kʼ u . n ʊ . ŋ
dikuranta	d i . kʼ u . r a . n . tʼ a
dikuranteng	d i . kʼ u . r a . n . tʼ ɪ . ŋ
dikutla	d i . kʼ u . t͡lʼ a
dikutleng	d i . kʼ u . t͡lʼ ɪ . ŋ
dikutlopono	d i . kʼ u . t͡lʼ ʊ . pʼ ʊ . n ʊ
dikutlwalo	d i . kʼ u . t͡lʼ w a . l ʊ
dikutu	d i . kʼ u . tʼ u
dikwalelo	d i . kʼ w a . l ɪ . l ʊ
dikwalelokgolo	d i . kʼ w a . l ɪ . l ʊ . k͡x ʊ . l ʊ
dikwalo	d i . kʼ w a . l ʊ
dikwalong	d i . kʼ w a . l ʊ . ŋ
dikwalwa	d i . kʼ w a . l w a
dikwaše	d i . kʼ w a . ʃ ɪ
dikwatlhao	d i . kʼ w a . t͡lʰ a . ʊ
dikweletla	d i . kʼ w ɪ . l ɪ . t͡lʼ a
dikwetsa	d i . kʼ w ɪ . t͡sʼ a
dilaesense	d i . l a . ɪ . s ɪ . n . s ɪ
dilalelo	d i . l a . l ɪ . l ʊ
dilalogi	d i . l a . l ʊ . x i
dilatlhwa	d i . l a . t͡lʰ w a
dilatso	d i . l a . t͡sʼ ʊ
dilatswa	d i . l a . t͡sʼ w a
dile	d i . l ɪ
dileele	d i . l ɪ . ɪ . l ɪ
dilegileng	d i . l ɪ . x i . l ɪ . ŋ
dilekane	d i . l ɪ . kʼ a . n ɪ
dilekano	d i . l ɪ . kʼ a . n ʊ
dilekanyetsi	d i . l ɪ . kʼ a . ɲ ɪ . t͡sʼ i
dilekanyetso	d i . l ɪ . kʼ a . ɲ ɪ . t͡sʼ ʊ
dilekanyi	d i . l ɪ . kʼ a . ɲ i
dilekanyo	d i . l ɪ . kʼ a . ɲ ʊ
dilekanyong	d i . l ɪ . kʼ a . ɲ ʊ . ŋ
dilelo	d i . l ɪ . l ʊ
dilemong	d i . l ɪ . m ʊ . ŋ
dilo	d i . l ʊ
dilola	d i . l ʊ . l a
dilong	d i . l ʊ . ŋ
dilotlolo	d i . l ʊ . t͡lʼ ʊ . l ʊ
dilwana	d i . l w a . n a
dilwaneng	d i . l w a . n ɪ . ŋ
dimaele	d i . m a . ɪ . l ɪ
dimakasine	d i . m a . kʼ a . s i . n ɪ
dimakasining	d i . m a . kʼ a . s i . n i . ŋ
dimakatso	d i . m a . kʼ a . t͡sʼ ʊ
dimametlelelo	d i . m a . m ɪ . t͡lʼ ɪ . l ɪ . l ʊ
dimapo	d i . m a . pʼ ʊ
dimasetere	d i . m a . s ɪ . tʼ ɪ . r ɪ
dimatla	d i . m a . t͡lʼ a
dimatshini	d i . m a . t͡sʰ i . n i
dimedi	d i . m ɪ . d i
dimela	d i . m ɪ . l a
dimelametsing	d i . m ɪ . l a . m ɪ . t͡sʼ i . ŋ
dimelanyana	d i . m ɪ . l a . ɲ a . n a
dimeleng	d i . m ɪ . l ɪ . ŋ
dimelo	d i . m ɪ . l ʊ
dimentlele	d i . m ɪ . n . t͡lʼ ɪ . l ɪ
dimerale	d i . m ɪ . r a . l ɪ
dimethabolaete	d i . m ɪ . tʰ a . b ʊ . l a . ɪ . tʼ ɪ
dimilione	d i . m i . l i . ʊ . n ɪ
dimmapa	d i . m . m a . pʼ a
dimmaraka	d i . m . m a . r a . kʼ a
dimmarakeng	d i . m . m a . r a . kʼ ɪ . ŋ
dimo	d i . m ʊ
dimofatsa	d i . m ʊ . f a . t͡sʼ a
dimomaganyi	d i . m ʊ . m a . x a . ɲ i
dimonamone	d i . m ʊ . n a . m ʊ . n ɪ
dimonyela	d i . m ʊ . ɲ ɪ . l a
dimotšhwari	d i . m ʊ . t͡ʃʰ w a . r i
dimpa	d i . m . pʼ a
dimphato	d i . m . pʰ a . tʼ ʊ
dimusiamo	d i . m u . s i . a . m ʊ
dinaane	d i . n a . a . n ɪ
dina	d i . n a
dinaga	d i . n a . x a
dinagakopano	d i . n a . x a . kʼ ʊ . pʼ a . n ʊ
dinagamagae	d i . n a . x a . m a . x a . ɪ
dinagamagaeng	d i . n a . x a . m a . x a . ɪ . ŋ
dinageng	d i . n a . x ɪ . ŋ
dinaka	d i . n a . kʼ a
dinako	d i . n a . kʼ ʊ
dinakong	d i . n a . kʼ ʊ . ŋ
dinala	d i . n a . l a
dinaledi	d i . n a . l ɪ . d i
dinaleng	d i . n a . l ɪ . ŋ
dinama	d i . n a . m a
dinamane	d i . n a . m a . n ɪ
dinamaneng	d i . n a . m a . n ɪ . ŋ
dinamanyane	d i . n a . m a . ɲ a . n ɪ
dinameng	d i . n a . m ɪ . ŋ
dinao	d i . n a . ʊ
dinaong	d i . n a . ʊ . ŋ
dinatla	d i . n a . t͡lʼ a
dineeletsano	d i . n ɪ . ɪ . l ɪ . t͡sʼ a . n ʊ
dineelo	d i . n ɪ . ɪ . l ʊ
dineo	d i . n ɪ . ʊ
dinetefaletso	d i . n ɪ . tʼ ɪ . f a . l ɪ . t͡sʼ ʊ
dingaka	d i . ŋ a . kʼ a
dingangisano	d i . ŋ a . ŋ i . s a . n ʊ
dingatana	d i . ŋ a . tʼ a . n a
dingo	d i . ŋ ʊ
dingongorego	d i . ŋ ʊ . ŋ ʊ . r ɪ . x ʊ
dingongoregong	d i . ŋ ʊ . ŋ ʊ . r ɪ . x ʊ . ŋ
dingwa	d i . ŋ w a
dingwaga	d i . ŋ w a . x a
dingwagakgolong	d i . ŋ w a . x a . k͡x ʊ . l ʊ . ŋ
dingwagangwaga	d i . ŋ w a . x a . ŋ w a . x a
dingwaganyaneng	d i . ŋ w a . x a . ɲ a . n ɪ . ŋ
dingwagasome	d i . ŋ w a . x a . s ʊ . m ɪ
dingwagasomeng	d i . ŋ w a . x a . s ʊ . m ɪ . ŋ
dingwageng	d i . ŋ w a . x ɪ . ŋ
dingwana	d i . ŋ w a . n a
dingwao	d i . ŋ w a . ʊ
dingwaong	d i . ŋ w a . ʊ . ŋ
dingwe	d i . ŋ w ɪ
dingweng	d i . ŋ w ɪ . ŋ
dinkgamonate	d i . n . k͡x a . m ʊ . n a . tʼ ɪ
dinkgwe	d i . n . k͡x w ɪ
dinku	d i . n . kʼ u
dinkwana	d i . n . kʼ w a . n a
dinnete	d i . n . n ɪ . tʼ ɪ
dinngwe	d i . n . ŋ w ɪ
dinnye	d i . n . ɲ ɪ
dino	d i . n ʊ
dinoga	d i . n ʊ . x a
dinoka	d i . n ʊ . kʼ a
dinokana	d i . n ʊ . kʼ a . n a
dinokaneng	d i . n ʊ . kʼ a . n ɪ . ŋ
dinokeng	d i . n ʊ . kʼ ɪ . ŋ
dinoko	d i . n ʊ . kʼ ʊ
dinokodintsi	d i . n ʊ . kʼ ʊ . d i . n . t͡sʼ i
dinokwane	d i . n ʊ . kʼ w a . n ɪ
dinomore	d i . n ʊ . m ʊ . r ɪ
dinomoro	d i . n ʊ . m ʊ . r ʊ
dinomoropolata	d i . n ʊ . m ʊ . r ʊ . pʼ ʊ . l a . tʼ a
dinong	d i . n ʊ . ŋ
dinonofo	d i . n ʊ . n ʊ . f ʊ
dinontshammu	d i . n ʊ . n . t͡sʰ a . m . m u
dinonyane	d i . n ʊ . ɲ a . n ɪ
dinopolo	d i . n ʊ . pʼ ʊ . l ʊ
dinopolwa	d i . n ʊ . pʼ ʊ . l w a
dinosele	d i . n ʊ . s ɪ . l ɪ
dinosetsidikologi	d i . n ʊ . s ɪ . t͡sʼ i . d i . kʼ ʊ . l ʊ . x i
dinotlolo	d i . n ʊ . t͡lʼ ʊ . l ʊ
dinotsididi	d i . n ʊ . t͡sʼ i . d i . d i
dinta	d i . n . tʼ a
dintana	d i . n . tʼ a . n a
dintha	d i . n . tʰ a
dintho	d i . n . tʰ ʊ
dintle	d i . n . t͡lʼ ɪ
dintlha	d i . n . t͡lʰ a
dintlhakakaretso	d i . n . t͡lʰ a . kʼ a . kʼ a . r ɪ . t͡sʼ ʊ
dintlhakemo	d i . n . t͡lʰ a . kʼ ɪ . m ʊ
dintlhakgolo	d i . n . t͡lʰ a . k͡x ʊ . l ʊ
dintlhana	d i . n . t͡lʰ a . n a
dintlhangwa	d i . n . t͡lʰ a . ŋ w a
dintlhaphitlhelelo	d i . n . t͡lʰ a . pʰ i . t͡lʰ ɪ . l ɪ . l ʊ
dintlhatheo	d i . n . t͡lʰ a . tʰ ɪ . ʊ
dintlhatheong	d i . n . t͡lʰ a . tʰ ɪ . ʊ . ŋ
dintlhatlhaolo	d i . n . t͡lʰ a . t͡lʰ a . ʊ . l ʊ
dintlheng	d i . n . t͡lʰ ɪ . ŋ
dintlo	d i . n . t͡lʼ ʊ
dintlong	d i . n . t͡lʼ ʊ . ŋ
dintsanantsana	d i . n . t͡sʼ a . n a . n . t͡sʼ a . n a
dintse	d i . n . t͡sʼ ɪ
dintsenngwateng	d i . n . t͡sʼ ɪ . n . ŋ w a . tʼ ɪ . ŋ
dintsha	d i . n . t͡sʰ a
dintšha	d i . n . t͡ʃʰ a
dintshamenong	d i . n . t͡sʰ a . m ɪ . n ʊ . ŋ
dintšhane	d i . n . t͡ʃʰ a . n ɪ
dintshetsontle	d i . n . t͡sʰ ɪ . t͡sʼ ʊ . n . t͡lʼ ɪ
dintshi	d i . n . t͡sʰ i
dintsho	d i . n . t͡sʰ ʊ
dintshwa	d i . n . t͡sʰ w a
dintšhwa	d i . n . t͡ʃʰ w a
dintsi	d i . n . t͡sʼ i
dintsintsi	d i . n . t͡sʼ i . n . t͡sʼ i
dintsinyana	d i . n . t͡sʼ i . ɲ a . n a
dintšwa	d i . n . t͡ʃʼ w a
dintšweng	d i . n . t͡ʃʼ w ɪ . ŋ
dintwa	d i . n . tʼ w a
dintweng	d i . n . tʼ w ɪ . ŋ
dinwane	d i . n w a . n ɪ
dinyaga	d i . ɲ a . x a
dinyageng	d i . ɲ a . x ɪ . ŋ
dinyana	d i . ɲ a . n a
dinyane	d i . ɲ a . n ɪ
dinyao	d i . ɲ a . ʊ
dinyepo	d i . ɲ ɪ . pʼ ʊ
dipaakanyetso	d i . pʼ a . a . kʼ a . ɲ ɪ . t͡sʼ ʊ
dipaakanyo	d i . pʼ a . a . kʼ a . ɲ ʊ
dipabelo	d i . pʼ a . b ɪ . l ʊ
dipadi	d i . pʼ a . d i
dipadiso	d i . pʼ a . d i . s ʊ
dipaka	d i . pʼ a . kʼ a
dipakeng	d i . pʼ a . kʼ ɪ . ŋ
dipaki	d i . pʼ a . kʼ i
dipaking	d i . pʼ a . kʼ i . ŋ
dipala	d i . pʼ a . l a
dipalangwa	d i . pʼ a . l a . ŋ w a
dipalangwang	d i . pʼ a . l a . ŋ w a . ŋ
dipalangweng	d i . pʼ a . l a . ŋ w ɪ . ŋ
dipalelelo	d i . pʼ a . l ɪ . l ɪ . l ʊ
dipalelo	d i . pʼ a . l ɪ . l ʊ
dipalelong	d i . pʼ a . l ɪ . l ʊ . ŋ
dipalo	d i . pʼ a . l ʊ
dipalogotlhe	d i . pʼ a . l ʊ . x ʊ . t͡lʰ ɪ
dipalong	d i . pʼ a . l ʊ . ŋ
dipalopalo	d i . pʼ a . l ʊ . pʼ a . l ʊ
dipalotshedimosetso	d i . pʼ a . l ʊ . t͡sʰ ɪ . d i . m ʊ . s ɪ . t͡sʼ ʊ
dipampiri	d i . pʼ a . m . pʼ i . r i
dipampiring	d i . pʼ a . m . pʼ i . r i . ŋ
dipampitshana	d i . pʼ a . m . pʼ i . t͡sʰ a . n a
dipane	d i . pʼ a . n ɪ
dipanele	d i . pʼ a . n ɪ . l ɪ
dipapatso	d i . pʼ a . pʼ a . t͡sʼ ʊ
dipapatsong	d i . pʼ a . pʼ a . t͡sʼ ʊ . ŋ
dipapetla	d i . pʼ a . pʼ ɪ . t͡lʼ a
dipapetlana	d i . pʼ a . pʼ ɪ . t͡lʼ a . n a
dipapetlanapepentsho	d i . pʼ a . pʼ ɪ . t͡lʼ a . n a . pʼ ɪ . pʼ ɪ . n . t͡sʰ ʊ
dipapiso	d i . pʼ a . pʼ i . s ʊ
dipatente	d i . pʼ a . tʼ ɪ . n . tʼ ɪ
dipaterole	d i . pʼ a . tʼ ɪ . r ʊ . l ɪ
dipaterone	d i . pʼ a . tʼ ɪ . r ʊ . n ɪ
dipatlego	d i . pʼ a . t͡lʼ ɪ . x ʊ
dipatlelong	d i . pʼ a . t͡lʼ ɪ . l ʊ . ŋ
dipatlisisi	d i . pʼ a . t͡lʼ i . s i . s i
dipatlisiso	d i . pʼ a . t͡lʼ i . s i . s ʊ
dipatlisisong	d i . pʼ a . t͡lʼ i . s i . s ʊ . ŋ
dipatsana	d i . pʼ a . t͡sʼ a . n a
dipe	d i . pʼ ɪ
dipeelano	d i . pʼ ɪ . ɪ . l a . n ʊ
dipeeletso	d i . pʼ ɪ . ɪ . l ɪ . t͡sʼ ʊ
dipeeletsong	d i . pʼ ɪ . ɪ . l ɪ . t͡sʼ ʊ . ŋ
dipeelo	d i . pʼ ɪ . ɪ . l ʊ
dipeelomelelwane	d i . pʼ ɪ . ɪ . l ʊ . m ɪ . l ɪ . l w a . n ɪ
dipegelo	d i . pʼ ɪ . x ɪ . l ʊ
dipegelong	d i . pʼ ɪ . x ɪ . l ʊ . ŋ
dipego	d i . pʼ ɪ . x ʊ
dipekereng	d i . pʼ ɪ . kʼ ɪ . r ɪ . ŋ
dipelaelo	d i . pʼ ɪ . l a . ɪ . l ʊ
dipelo	d i . pʼ ɪ . l ʊ
dipelong	d i . pʼ ɪ . l ʊ . ŋ
dipene	d i . pʼ ɪ . n ɪ
dipenele	d i . pʼ ɪ . n ɪ . l ɪ
dipeo	d i . pʼ ɪ . ʊ
dipeomolao	d i . pʼ ɪ . ʊ . m ʊ . l a . ʊ
dipeong	d i . pʼ ɪ . ʊ . ŋ
dipetlele	d i . pʼ ɪ . t͡lʼ ɪ . l ɪ
dipetso	d i . pʼ ɪ . t͡sʼ ʊ
diphaka	d i . pʰ a . kʼ a
diphalane	d i . pʰ a . l a . n ɪ
diphanele	d i . pʰ a . n ɪ . l ɪ
diphapaano	d i . pʰ a . pʼ a . a . n ʊ
diphapang	d i . pʰ a . pʼ a . ŋ
diphapogo	d i . pʰ a . pʼ ʊ . x ʊ
diphaposana	d i . pʰ a . pʼ ʊ . s a . n a
diphaposiborutelo	d i . pʰ a . pʼ ʊ . s i . b ʊ . r u . tʼ ɪ . l ʊ
diphaposiborutelong	d i . pʰ a . pʼ ʊ . s i . b ʊ . r u . tʼ ɪ . l ʊ . ŋ
diphaposi	d i . pʰ a . pʼ ʊ . s i
diphaposing	d i . pʰ a . pʼ ʊ . s i . ŋ
diphaposo	d i . pʰ a . pʼ ʊ . s ʊ
dipharagobeng	d i . pʰ a . r a . x ʊ . b ɪ . ŋ
dipharologano	d i . pʰ a . r ʊ . l ʊ . x a . n ʊ
dipharologanong	d i . pʰ a . r ʊ . l ʊ . x a . n ʊ . ŋ
dipharologantsho	d i . pʰ a . r ʊ . l ʊ . x a . n . t͡sʰ ʊ
dipharologanyo	d i . pʰ a . r ʊ . l ʊ . x a . ɲ ʊ
diphasalatso	d i . pʰ a . s a . l a . t͡sʼ ʊ
diphasalatsong	d i . pʰ a . s a . l a . t͡sʼ ʊ . ŋ
diphasela	d i . pʰ a . s ɪ . l a
diphaseporoto	d i . pʰ a . s ɪ . pʼ ʊ . r ʊ . tʼ ʊ
diphate	d i . pʰ a . tʼ ɪ
diphateng	d i . pʰ a . tʼ ɪ . ŋ
diphatikile	d i . pʰ a . tʼ i . kʼ i . l ɪ
diphatla	d i . pʰ a . t͡lʼ a
diphatlatiro	d i . pʰ a . t͡lʼ a . tʼ i . r ʊ
diphatlha	d i . pʰ a . t͡lʰ a
diphatlhana	d i . pʰ a . t͡lʰ a . n a
diphatlhaneng	d i . pʰ a . t͡lʰ a . n ɪ . ŋ
diphatlhatiro	d i . pʰ a . t͡lʰ a . tʼ i . r ʊ
diphatlhatirong	d i . pʰ a . t͡lʰ a . tʼ i . r ʊ . ŋ
diphatlheng	d i . pʰ a . t͡lʰ ɪ . ŋ
diphatlho	d i . pʰ a . t͡lʰ ʊ
diphatsa	d i . pʰ a . t͡sʼ a
diphatseng	d i . pʰ a . t͡sʼ ɪ . ŋ
diphedi	d i . pʰ ɪ . d i
diphefong	d i . pʰ ɪ . f ʊ . ŋ
diphegelelo	d i . pʰ ɪ . x ɪ . l ɪ . l ʊ
dipheko	d i . pʰ ɪ . kʼ ʊ
diphekolo	d i . pʰ ɪ . kʼ ʊ . l ʊ
diphelelo	d i . pʰ ɪ . l ɪ . l ʊ
diphensele	d i . pʰ ɪ . n . s ɪ . l ɪ
diphenšene	d i . pʰ ɪ . n . ʃ ɪ . n ɪ
diphesente	d i . pʰ ɪ . s ɪ . n . tʼ ɪ
diphetego	d i . pʰ ɪ . tʼ ɪ . x ʊ
