ababalulekile	ababa{lulek}ile
ezikhuphukayo	ezi{khuphuka}yo
ezikhuphukile	ezi{khuphuk}ile
ezikhuthaza	ezi{khuthaza}
ezikhwameni	ezi{khwam}eni
eziko	ezi{ko}
ezikole	ezi{kol}e
ezikoleni	ezi{kol}eni
ezikolweni	ezi{kolw}eni
ezikude	eziku{d}e
ezikwazi	ezikwa{zi}
ezilandela	ezi{landela}
ezilandelayo	ezi{landela}yo
ezilimele	ezili{mel}e
ezilimi	ezi{limi}
ezilimini	ezi{lim}ini
ezilindele	ezili{ndel}e
ezilindelekile	ezili{ndelek}ile
ezilindelwe	ezili{ndelw}e
ezilokhu	ezi{lokhu}
ezilwane	ezi{lw}ane
ezimali	ezim{ali}
ezimalini	ezim{al}ini
ezimalungana	ezim{alung}ana
ezimandla	ezim{andla}
ezimaphakathi	ezim{aphakathi}
ezimba	ezim{ba}
ezimbalwa	ezim{balwa}
ezimbi	ezim{bi}
ezimbili	ezim{bili}
ezimele	ezim{el}e
ezimfushane	ezim{fush}ane
ezimisela	ezim{isela}
ezimisele	ezim{isel}e
ezimiselwe	ezim{iselw}e
ezimiselweni	ezim{iselw}eni
ezimnandi	ezim{nandi}
ezimobeni	ezim{ob}eni
ezimpahla	ezim{pahla}
ezimpilo	ezim{pilo}
ezimvumeni	ezim{vum}eni
ezincane	ezin{c}ane
ezincwaba	ezin{cwaba}
ezincwadi	ezin{cwadi}
ezincwadini	ezin{cwad}ini
ezindaba	ezin{daba}
ezindabeni	ezin{dab}eni
ezindala	ezin{dala}
ezindaweni	ezin{daw}eni
ezindawo	ezin{dawo}
ezinde	ezin{de}
ezindlebeni	ezin{dleb}eni
ezindleko	ezin{dleko}
ezindlela	ezin{dlela}
ezindleleni	ezin{dlel}eni
ezindlula	ezin{dlula}
ezine	ezin{e}
ezinemiphumela	ezinemi{phumela}
ezinezincwadi	ezinezin{cwadi}
ezinezindawo	ezinezin{dawo}
ezinezinhlaka	ezinezin{hlaka}
ezinezinjongo	ezinezin{jongo}
ezinezinkinga	ezinezin{kinga}
ezingaba	ezinga{ba}
ezingabakhona	ezingaba{khona}
ezingabaluleka	ezingaba{luleka}
ezingabalulekile	ezingaba{lulekile}
ezingabalwa	ezingaba{lwa}
ezingabamba	ezingaba{mba}
ezingabangela	ezingaba{ngela}
ezingabantu	ezingaba{ntu}
ezingabaphi	ezingaba{phi}
ezingabasebenzi	ezingaba{sebenzi}
ezingabasebenzisi	ezingaba{sebenzisi}
ezingabazi	ezingaba{zi}
ezingabe	ezinga{be}
ezingabeka	ezingabe{ka}
ezingabhaliswa	ezinga{bhaliswa}
ezingabhekana	ezinga{bhek}ana
ezingabona	ezinga{bona}
ezingabonakali	ezingabo{nakali}
ezingaboni	ezingabo{ni}
ezingadala	ezinga{dala}
ezingadingeka	ezinga{dingeka}
ezingadingekile	ezinga{dingekile}
ezinga	ezing{a}
ezingafanele	ezinga{fanele}
ezingafanelekile	ezinga{fanelekile}
ezingafuna	ezinga{funa}
ezingafundi	ezinga{fundi}
ezingahambi	ezinga{hambi}
ezingahambisana	ezinga{hambis}ana
ezingahambisani	ezinga{hambisani}
ezingahlangani	ezinga{hlangani}
ezingahlanganisa	ezinga{hlanganisa}
ezingahlangene	ezinga{hlangene}
ezingahle	ezinga{hle}
ezingahlelekile	ezinga{hlelekile}
ezingahleliwe	ezinga{hleliwe}
ezingahlelwa	ezinga{hlelwa}
ezingahlelwanga	ezinga{hlelwanga}
ezingaholela	ezinga{holela}
ezingaka	ezingak{a}
ezingakatholakali	ezingaka{tholakali}
ezingakazalwa	ezingak{azalwa}
ezingakhethi	ezingak{hethi}
ezingakhona	ezingak{hona}
ezingakhuba	ezingak{huba}
ezingakubangela	ezingaku{bangela}
ezingakulungele	ezingaku{lungele}
ezingakunika	ezingakunik{a}
ezingakusiza	ezingaku{siza}
ezingakwazi	ezingakwa{zi}
ezingalapho	ezingala{pho}
ezingalindelekile	ezingali{ndelekile}
ezingalweni	ezingalw{eni}
ezingamadolobha	ezingama{dolobha}
ezingama	ezingam{a}
ezingamagatsha	ezingama{gatsha}
ezingamahlalakhona	ezingama{hlalakhona}
ezingamaholide	ezingama{holide}
ezingamakhulu	ezingama{khulu}
ezingamalunga	ezingama{lunga}
ezingamanga	ezingama{nga}
ezingamaqiniso	ezingama{qiniso}
ezingamele	ezingame{le}
ezingandisa	ezingan{disa}
ezingane	ezingan{e}
ezinganele	ezingane{le}
ezinganeni	ezinganen{i}
ezingaphakathi	ezinga{phakathi}
ezingaphambi	ezinga{phambi}
ezingaphambili	ezinga{phambili}
ezingaphandle	ezinga{phandle}
ezingaphansi	ezinga{phansi}
ezingaphatheki	ezinga{phatheki}
ezingaphathelene	ezinga{phathelene}
ezingaphelele	ezinga{phelele}
ezingapheli	ezinga{pheli}
ezingaphephile	ezinga{phephile}
ezingaphezu	ezinga{phezu}
ezingaphezulu	ezinga{phezulu}
ezingaphila	ezinga{phila}
ezingaphili	ezinga{phili}
ezingaphinde	ezinga{phinde}
ezingaqhamuka	ezinga{qhamuka}
ezingaqondene	ezinga{qondene}
ezingaqondile	ezinga{qondile}
ezingasasebenzi	ezingasa{sebenzi}
ezingasebenza	ezingas{ebenza}
ezingasebenzeli	ezingas{ebenzeli}
ezingasebenzi	ezingas{ebenzi}
ezingasebenzisa	ezingas{ebenzisa}
ezingase	ezingas{e}
ezingasekelwe	ezingas{ekelwe}
ezingasetshenziselwa	ezingas{etshenziselwa}
ezingasetshenziswa	ezingas{etshenziswa}
ezingasetshenziswanga	ezingas{etshenziswanga}
ezingasho	ezingas{ho}
ezingathandi	ezinga{thandi}
ezingathathelani	ezinga{thathelani}
ezingathathwa	ezinga{thathwa}
ezingathelelani	ezinga{thelelani}
ezingathengiswa	ezinga{thengiswa}
ezingatheni	ezin{gath}eni
ezingatholakala	ezinga{tholakala}
ezingatholwa	ezinga{tholwa}
ezingathuthukile	ezinga{thuthukile}
ezingathuthukisiwe	ezinga{thuthukisiwe}
ezingatshalwa	ezinga{tshalwa}
ezingazange	ezingaz{ange}
ezingaziwa	ezingazi{wa}
ezingcono	ezing{cono}
ezingcwele	ezing{cwele}
ezingejwayelekile	ezinge{jwayelekile}
ezingekho	ezingek{ho}
ezingekwakhona	ezingekw{akhona}
ezingela	ezinge{la}
ezingelona	ezinge{lona}
ezingenabani	ezingen{abani}
ezingena	ezingen{a}
ezingenamuntu	ezingen{amuntu}
ezingenayo	ezingen{ayo}
ezingene	ezingen{e}
ezingengaphansi	ezingen{gaphansi}
ezingenhla	ezingen{hla}
ezingeni	ezingen{i}
ezingenza	ezingen{za}
ezingenzansi	ezingen{zansi}
ezingenzeka	ezingen{zeka}
ezingenzekanga	ezingen{zekanga}
ezingenzi	ezingen{zi}
ezingenziwa	ezingen{ziwa}
ezingezinhle	ezingezin{hle}
ezingokomthetho	ezingok{omthetho}
ezingokwesicelo	ezingokw{esicelo}
ezingonakala	ezingon{akala}
ezingozi	ezingoz{i}
ezingozini	ezingozin{i}
ezingqondweni	ezin{gqondw}eni
ezingu	ezing{u}
ezinguquko	ezingu{quko}
ezinguqukweni	ezin{guqukw}eni
ezingxenye	ezing{xenye}
ezingxenyeni	ezin{gxeny}eni
ezingxoxo	ezing{xoxo}
ezingxoxweni	ezin{gxoxw}eni
ezinhlakeni	ezin{hlak}eni
ezinhlamvu	ezin{hlamvu}
ezinhlanga	ezin{hlanga}
ezinhlangeni	ezin{hlang}eni
ezinhlangothi	ezin{hlangothi}
ezinhlangothini	ezin{hlangoth}ini
ezinhlangweni	ezin{hlangw}eni
ezinhlanu	ezin{hlanu}
ezinhlanzini	ezin{hlanz}ini
ezinhle	ezin{hle}
ezinhlekeleleni	ezin{hlekelel}eni
ezinhlelo	ezin{hlelo}
ezinhlelweni	ezin{hlelw}eni
ezinhleni	ezin{hl}eni
ezinhliziyweni	ezin{hliziyw}eni
ezinhlobeni	ezin{hlob}eni
ezinhlobo	ezin{hlobo}
ezinhlobonhlobo	ezin{hlobonhlobo}
ezinhlokweni	ezin{hlokw}eni
ezinhlotsheni	ezin{hlotsh}eni
ezinhlungwini	ezin{hlungw}ini
ezinikela	ezinik{ela}
ezinikelayo	ezini{kela}yo
ezinikele	ezinik{ele}
eziningana	ezinin{g}ana
eziningi	ezinin{gi}
ezinjalo	ezin{jalo}
ezinjengama	ezinjengam{a}
ezinjengamagciwane	ezinjengama{gciw}ane
ezinjengamakomidi	ezinjengama{komidi}
ezinjengamanzi	ezinjengama{nzi}
ezinjengezinqubo	ezinjengezin{qubo}
ezinjengokudla	ezinjengoku{dla}
ezinjongo	ezin{jongo}
ezinjongweni	ezin{jongw}eni
ezinkalweni	ezin{kalw}eni
ezinkambini	ezin{kamb}ini
ezinkampani	ezin{kampani}
ezinkampanini	ezin{kampan}ini
ezinkingeni	ezin{king}eni
ezinkomba	ezin{komba}
ezinkombeni	ezin{komb}eni
ezinkomo	ezin{komo}
ezinkulisa	ezin{kulisa}
ezinkulu	ezin{kulu}
ezinkulungwane	ezin{kulungw}ane
ezinkulungwaneni	ezin{kulungwan}eni
ezinokusebenzisa	ezinoku{sebenzisa}
ezinokusetshenziswa	ezinoku{setshenziswa}
ezinokwenzeka	ezinokw{enzeka}
ezinqala	ezin{qala}
ezinqoleni	ezin{qol}eni
ezinqubo	ezin{qubo}
ezinquma	ezin{quma}
ezinqumeni	ezin{qum}eni
ezinqumo	ezin{qumo}
ezinqunyelwe	ezin{qunyelwe}
ezinqunywe	ezin{qunywe}
ezinselelweni	ezin{selelw}eni
ezinsinini	ezin{sin}ini
ezinsiza	ezin{siza}
ezinsizakalweni	ezin{sizakalw}eni
ezinsizeni	ezin{siz}eni
ezinsizweni	ezin{sizw}eni
ezintangeni	ezin{tang}eni
ezintatheli	ezin{tatheli}
ezintathu	ezin{tathu}
ezinto	ezin{to}
ezintombini	ezin{tomb}ini
ezintsha	ezin{tsha}
ezintuthukweni	ezin{tuthukw}eni
ezintweni	ezin{tw}eni
ezinyanga	eziny{anga}
ezinyangeni	ezin{yang}eni
ezinyathelo	eziny{athelo}
ezinyathelweni	ezin{yathelw}eni
ezinyaweni	ezin{yaw}eni
ezinyawo	eziny{awo}
ezinye	ezinye
ezinyoni	eziny{oni}
ezinyonini	ezin{yon}ini
eziphakathi	ezi{phakathi}
eziphambi	ezi{phambi}
eziphambili	ezi{phambili}
eziphansi	ezi{phansi}
eziphatha	ezi{phatha}
eziphathe	ezi{phath}e
eziphathekayo	ezi{phatheka}yo
eziphathele	ezi{phathel}e
eziphathelele	ezi{phathelel}e
eziphathelene	ezi{phathelen}e
eziphathimandla	ezi{phathimandla}
eziphathimandleni	ezi{phathimandl}eni
eziphathwa	ezi{phathwa}
eziphelele	ezi{phelel}e
eziphendula	ezi{phendula}
eziphephetha	ezi{phephetha}
eziphephile	ezi{pheph}ile
eziphethe	ezi{pheth}e
eziphethwe	ezi{phethw}e
eziphezulu	ezi{phezulu}
eziphikisa	ezi{phikisa}
eziphikisana	ezi{phikis}ana
eziphila	ezi{phila}
eziphilayo	ezi{phila}yo
eziphinda	ezi{phinda}
eziphuma	ezi{phuma}
eziphumelelayo	ezi{phumelela}yo
eziphumelele	ezi{phumelel}e
eziqhamuka	ezi{qhamuka}
eziqhubekayo	ezi{qhubeka}yo
eziqondiswa	ezi{qondiswa}
eziqondisweni	ezi{qondisw}eni
ezisebenza	ezi{sebenza}
ezisebenzayo	ezi{sebenza}yo
ezisebenzela	ezi{sebenzela}
ezisebenzi	ezi{sebenzi}
ezisebenzini	ezi{sebenz}ini
ezisebenzisa	ezi{sebenzisa}
ezisebenzisana	ezi{sebenzis}ana
ezisebenzisanayo	ezi{sebenzisana}yo
ezisekela	ezi{sekela}
ezisekhona	ezi{sekhona}
ezisekugcineni	ezi{sekugcin}eni
ezisemadolobheni	ezi{semadolobh}eni
ezisemaphandleni	ezi{semaphandl}eni
ezisemiphakathini	ezi{semiphakath}ini
ezisemphakathini	ezi{semphakath}ini
ezisemqoka	ezi{semqoka}
ezisemthethweni	ezi{semthethw}eni
ezisencane	ezi{senc}ane
ezisencwadini	ezi{sencwad}ini
ezisendleleni	ezi{sendlel}eni
ezisentshenziswa	ezi{sentshenziswa}
ezisentshenziswayo	ezi{sentshenziswa}yo
ezisentshenziwe	ezi{sentshenziw}e
ezisesifundeni	ezi{sesifund}eni
ezisesiqondisweni	ezi{sesiqondisw}eni
ezisetshenzelwa	ezi{setshenzelwa}
ezisetshenziselwa	ezi{setshenziselwa}
ezisetshenziselwe	ezi{setshenziselw}e
ezisetshenzisiwe	ezi{setshenzisiw}e
ezisetshenziswa	ezi{setshenziswa}
ezisetshenziswayo	ezi{setshenziswa}yo
ezisetshenziswe	ezi{setshenzisw}e
ezisetshenziwe	ezi{setshenziw}e
ezisetshenzwe	ezi{setshenzw}e
ezisezifundeni	ezi{sezifund}eni
ezisezingeni	ezi{sezing}eni
ezisezinhlelweni	ezi{sezinhlelw}eni
ezishaya	ezi{shaya}
eziswele	ezi{swel}e
ezithanda	ezi{thanda}
ezithandayo	ezi{thanda}yo
ezithatha	ezi{thatha}
ezithathelana	ezi{thathel}ana
ezithathelanayo	ezi{thathelana}yo
ezithathelenayo	ezi{thathelena}yo
ezithathelwa	ezi{thathelwa}
ezithathelwana	ezi{thathelw}ana
ezithathelwanayo	ezi{thathelwana}yo
ezithathelwe	ezi{thathelw}e
ezithathiwe	ezi{thathiw}e
ezithathu	ezi{thathu}
ezithathwa	ezi{thathwa}
ezithathwayo	ezi{thathwa}yo
ezithathwe	ezi{thathw}e
ezithebeni	ezi{theb}eni
ezithela	ezi{thela}
ezithembisa	ezi{thembisa}
ezitheni	ezi{th}eni
ezithethwe	ezi{thethw}e
ezithi	ezi{thi}
ezithile	ezi{th}ile
ezithinta	ezi{thinta}
ezithintana	ezi{thint}ana
ezithize	ezi{thiz}e
ezithizeni	ezi{thiz}eni
ezithola	ezi{thola}
ezitholaka	ezi{tholaka}
ezitholakala	ezi{tholakala}
ezitholakalayo	ezi{tholakala}yo
ezitholakale	ezi{tholakal}e
ezithole	ezi{thol}e
ezitholwa	ezi{tholwa}
ezitholwe	ezi{tholw}e
ezithutheleka	ezi{thutheleka}
ezithuthi	ezi{thuthi}
ezithuthukile	ezi{thuthuk}ile
ezithuthukisa	ezi{thuthukisa}
ezithuthukisayo	ezi{thuthukisa}yo
ezithuthukisiwe	ezi{thuthukisiw}e
ezithuthukiswayo	ezi{thuthukiswa}yo
ezithuthukiswe	ezi{thuthukisw}e
ezitimela	ezi{timela}
ezitimeleni	ezi{timel}eni
ezitshela	ezi{tshela}
ezitshelwe	ezi{tshelw}e
ezitsheni	ezi{tsh}eni
ezivalekile	ezi{valek}ile
ezivikela	ezi{vikela}
ezivikelayo	ezi{vikela}yo
ezivikelekayo	ezi{vikeleka}yo
ezivikelekile	ezi{vikelek}ile
ezivikelelekile	ezi{vikelelek}ile
ezivumelekile	ezi{vumelek}ile
eziya	eziy{a}
eziye	eziy{e}
eziyisikhombisa	eziyisi{khombisa}
eziyisikhombiso	eziyisi{khombiso}
eziyizinhlobo	eziyizin{hlobo}
eziyizo	eziyiz{o}
eziyokwenziwa	eziyokw{enziwa}
eziyosetshenziswa	eziyos{etshenziswa}
eziyothathelwa	eziyo{thathelwa}
eziyothathwa	eziyo{thathwa}
ezizawusetshenziswa	ezi{zawusetshenziswa}
ezizindeni	ezi{zind}eni
ezizisebenzela	ezizi{sebenzela}
ezizokwenzeka	ezizo{kwenzeka}
ezizweni	ezi{zw}eni
ezokusebenza	ezoku{sebenza}
ezokuthatha	ezoku{thatha}
ezokuthuthukisa	ezoku{thuthukisa}
ezokuthuthukiswa	ezoku{thuthukiswa}
ezokwenza	ezo{kwenza}
ezotholakala	ezo{tholakala}
ezulwini	ez{ulw}ini
ezwa	ezw{a}
ezwakala	ezwak{ala}
ezwe	ezw{e}
ezweni	ezwen{i}
fohlo	{fohlo}
funa	{fun}a
futhi	{futhi}
gaga	{gag}a
gazi	{gazi}
gidi	{gidi}
gijima	{gijim}a
gogo	{gogo}
gula	{gul}a
gundane	{gund}ane
gwababa	{gwabab}a
habe	{habe}
hamba	{hamb}a
hawu	{hawu}
hayi	{hayi}
hha	{hh}a
hhawu	{hhawu}
hhayi	{hhayi}
hhe	{hhe}
hheyi	{hheyi}
hhi	{hhi}
hhiya	{hhiy}a
hho	{hho}
hlala	{hlal}a
hleze	{hleze}
iba	i{ba}
ibandla	iba{ndla}
ibanga	iba{nga}
ibe	i{b}e
ibhala	i{bhala}
ibhalelwe	i{bhalelw}e
ibhaliwe	i{bhaliw}e
ibhalwa	i{bhalwa}
ibhalwe	i{bhalw}e
ibhasi	i{bhasi}
ibheka	i{bheka}
ibhekana	i{bhek}ana
ibheke	i{bhek}e
ibhekela	i{bhekela}
ibhekele	i{bhekel}e
ibhekelela	i{bhekelela}
ibhekelele	i{bhekelel}e
ibhekene	i{bheken}e
ibhodi	i{bhodi}
ibhubesi	i{bhubesi}
ibhulukwe	i{bhulukw}e
ibhungezi	i{bhungezi}
ibona	ibo{na}
ibonakala	ibo{nakala}
ibonelela	ibo{nelela}
ibonelele	ibo{nelel}e
ibucayi	ibu{cayi}
ibuhlungu	ibu{hlungu}
ibutho	ibu{tho}
ibuye	ibu{y}e
ibuzwa	ibu{zwa}
icala	i{cala}
ichaza	i{chaza}
idinga	i{dinga}
idla	i{dla}
idlala	i{dlala}
idlelo	i{dlelo}
idlula	i{dlula}
ifa	i{fa}
ifake	i{fak}e
ifana	i{f}ana
ifanele	i{fanel}e
ifanelekile	i{fanelek}ile
ifike	i{fik}e
ifindo	i{findo}
ifu	i{fu}
ifuna	i{funa}
ifundiswe	i{fundisw}e
ifundwa	i{fundwa}
igama	i{gama}
igazi	i{gazi}
igcina	i{gcina}
igcine	i{gcin}e
igciwane	i{gciw}ane
igosa	i{gosa}
igunya	i{gunya}
igwababa	i{gwababa}
ihamba	i{hamba}
ihambisa	i{hambisa}
ihambisana	i{hambis}ana
ihhashi	i{hhashi}
ihlala	i{hlala}
ihlale	i{hlal}e
ihlangane	i{hlang}ane
ihlanze	i{hlanz}e
ihlanzekile	i{hlanzek}ile
ihlathi	i{hlathi}
ihlazo	i{hlazo}
iii	i{ii}
ikakhulukazi	ik{akhulu}kazi
ikanjani	{ikanj}ani
ike	ik{e}
ikhala	ik{hala}
ikhambi	ik{hambi}
ikhanda	ik{handa}
ikhandlela	ik{handlela}
ikhansela	ik{hansela}
ikhehla	ik{hehla}
ikhombisa	ik{hombisa}
ikhombise	ik{hombis}e
ikhona	ik{hona}
ikhondomu	ik{hondomu}
ikhono	ik{hono}
ikhula	ik{hula}
ikhulu	ik{hulu}
ikhululekile	ik{hululek}ile
ikhuluma	ik{huluma}
ikhulume	ik{hulum}e
ikhulumela	ik{hulumela}
iklwa	ik{lwa}
ikomidi	ik{omidi}
ikomiti	ik{omiti}
ikuphi	iku{phi}
ikusasa	iku{sasa}
ikusebenzele	iku{sebenzel}e
ikwazi	ikwa{zi}
ilanga	i{langa}
ilapho	i{lapho}
ilena	i{lena}
iliphi	ili{phi}
ilokho	i{lokho}
ilokhu	i{lokhu}
ilukhuni	ilu{khuni}
ilunga	ilu{nga}
ilungelo	ilu{ngelo}
ilungile	ilu{ng}ile
ima	im{a}
imali	ima{li}
imane	i{m}ane
imbala	im{bala}
imbiza	im{biza}
imbongi	im{bongi}
imbulu	im{bulu}
imbulumakhasana	im{bulumakhas}ana
imbuzi	im{buzi}
imeya	ime{ya}
imfihlakalo	im{fihlakalo}
imfihlo	im{fihlo}
imfundo	im{fundo}
imibandela	imi{bandela}
imibhalo	imi{bhalo}
imibiko	imi{biko}
imibono	imi{bono}
imibuzo	imi{buzo}
imicabango	imi{cabango}
imidlalo	imi{dlalo}
imifula	imi{fula}
imigilingwane	imi{gilingw}ane
imigodla	imi{godla}
imigomo	imi{gomo}
imigudu	imi{gudu}
imigwamanda	imi{gwamanda}
imihlaba	imi{hlaba}
imihlabathi	imi{hlabathi}
imihlahla	imi{hlahla}
imihlahlandlela	imi{hlahlandlela}
imihla	imi{hla}
imihlambi	imi{hlambi}
imihlangano	imi{hlangano}
imihlanu	imi{hlanu}
imihlathi	imi{hlathi}
imihlola	imi{hlola}
imihuzuko	imi{huzuko}
imi	im{i}
imikhakha	imi{khakha}
imikhandlu	imi{khandlu}
imikhankaso	imi{khankaso}
imikhombandlela	imi{khombandlela}
imikhondo	imi{khondo}
imikhonto	imi{khonto}
imiklomelo	imi{klomelo}
imilolozelo	imi{lolozelo}
imilomo	imi{lomo}
imimoya	imi{moya}
imina	imi{na}
imindeni	imi{ndeni}
imingcele	imi{ngcele}
imininingane	imi{nining}ane
imininingwane	imi{niningw}ane
iminyaka	imi{nyaka}
iminyakana	imi{nyak}ana
iminyakanyaka	imi{nyakanyaka}
iminyango	imi{nyango}
imiphakathi	imi{phakathi}
imiphefumulo	imi{phefumulo}
imiphilandawonye	imi{philandawonye}
imiphumela	imi{phumela}
imiqondo	imi{qondo}
imisakazo	imi{sakazo}
imisebe	imi{sebe}
imisebeni	imi{sebeni}
imisebenzana	imi{sebenz}ana
imisebenzi	imi{sebenzi}
imisele	imi{sele}
imiselwe	imi{selwe}
imisetshenzana	imi{setshenz}ana
imisho	imi{sho}
imisindo	imi{sindo}
imithelela	imi{thelela}
imithetho	imi{thetho}
imithethonkambiso	imi{thethonkambiso}
imithethosisekelo	imi{thethosisekelo}
imithethwana	imi{thethw}ana
imithi	imi{thi}
imithombo	imi{thombo}
imixhaso	imi{xhaso}
imiyalezo	imi{yalezo}
imiyalo	imi{yalo}
imizamo	imi{zamo}
imizekeliso	imi{zekeliso}
imizi	imi{zi}
imizwa	imi{zwa}
imnandi	im{nandi}
impahla	im{pahla}
impela	im{pela}
impendulo	im{pendulo}
impesheni	im{pesheni}
impicabadala	im{picabadala}
impi	im{pi}
impikiswano	im{pikiswano}
impilo	im{pilo}
impisi	im{pisi}
impumelelo	im{pumelelo}
imuphi	imu{phi}
imvamisa	im{vamisa}
imvelaphi	im{velaphi}
imvelo	im{velo}
imvubu	im{vubu}
imvula	im{vula}
imvume	im{vum}e
inani	inani
incane	in{c}ane
incazelo	in{cazelo}
incema	in{cema}
incoma	in{coma}
incwadi	in{cwadi}
indaba	in{daba}
indatshana	in{datsh}ana
indaweni	in{daweni}
indawo	in{dawo}
indela	in{dela}
indima	in{dima}
indlala	in{dlala}
indlamu	in{dlamu}
indlela	in{dlela}
indlu	in{dlu}
indoda	in{doda}
indodakazi	in{doda}kazi
indodana	in{dod}ana
induku	in{duku}
induna	in{duna}
inezingxenye	inezin{gxenye}
ingaba	inga{ba}
ingabhalwa	inga{bhalwa}
ingabheka	inga{bheka}
ingabhekela	inga{bhekela}
ingabona	inga{bona}
ingabonakala	inga{bonakala}
ingabonakali	ingabo{nakali}
ingafaka	inga{faka}
ingafanele	inga{fanele}
ingafaneleka	inga{faneleka}
ingagcina	inga{gcina}
ingahambisani	inga{hambisani}
ingahlala	inga{hlala}
ingahlangana	inga{hlang}ana
ingahle	inga{hle}
ingahlelwa	inga{hlelwa}
ingakhethi	ingak{hethi}
ingakhishwa	ingak{hishwa}
ingakhomba	ingak{homba}
ingakhula	ingak{hula}
ingakuthi	ingaku{thi}
ingakwazi	ingakwa{zi}
ingakwenza	ingakw{enza}
ingane	ingan{e}
inganele	ingane{le}
ingangazi	ingangaz{i}
ingangena	ingangen{a}
ingani	ingani
ingaphakathi	inga{phakathi}
ingaphambili	inga{phambili}
ingaphandle	inga{phandle}
ingaphansi	inga{phansi}
ingaphelelanga	inga{phelelanga}
ingaphelele	inga{phelele}
ingaphezu	inga{phezu}
ingaphezulu	inga{phezulu}
ingaphinde	inga{phinde}
ingaphumelela	inga{phumelela}
ingaphumelelanga	inga{phumelelanga}
ingaqhubeka	inga{qhubeka}
ingasebenza	ingas{ebenza}
ingasebenzi	ingas{ebenzi}
ingasebenzisa	ingas{ebenzisa}
ingase	ingas{e}
ingasekho	ingas{ekho}
ingasetshenziselwa	ingas{etshenziselwa}
ingasetshenziswa	ingas{etshenziswa}
ingasetshenziswanga	ingas{etshenziswanga}
ingashaya	ingas{haya}
ingathanda	inga{thanda}
ingathatha	inga{thatha}
ingathathwa	inga{thathwa}
ingathi	inga{thi}
ingatholakala	inga{tholakala}
ingatholakalanga	inga{tholakalanga}
ingatholakali	inga{tholakali}
ingatholwa	inga{tholwa}
ingathuthukisa	inga{thuthukisa}
ingathuthukisi	inga{thuthukisi}
ingathwala	inga{thwala}
ingcono	ing{cono}
ingculazi	ing{culazi}
ingekho	ingek{ho}
ingena	ingen{a}
ingene	ingen{e}
ingenwa	ingen{wa}
ingenzeka	ingen{zeka}
ingenziwa	ingen{ziwa}
ingitshele	ingi{tshel}e
ingoba	ingo{ba}
ingozi	ingoz{i}
ingqikithi	ing{qikithi}
ingqondo	ing{qondo}
ingubo	ingu{bo}
ingumuntu	ingumu{ntu}
inguquko	ingu{quko}
ingxenyana	ing{xeny}ana
ingxenye	ing{xenye}
ingxoxo	ing{xoxo}
inhlabathi	in{hlabathi}
inhlalo	in{hlalo}
inhlanganisela	in{hlanganisela}
inhlanganiso	in{hlanganiso}
inhlangano	in{hlangano}
inhlanzi	in{hlanzi}
inhliziyo	in{hliziyo}
inhlobo	in{hlobo}
inhlolokhono	in{hlolokhono}
inhlonipho	in{hlonipho}
inhloso	in{hloso}
inikeze	inik{eze}
iningi	inin{gi}
inja	in{ja}
injalo	in{jalo}
injani	{inj}ani
injongo	in{jongo}
inkabi	in{kabi}
inkampani	{inkamp}ani
inkani	{ink}ani
inkinga	in{kinga}
inkombandlela	in{kombandlela}
inkomishi	in{komishi}
inkomo	in{komo}
inkondlo	in{kondlo}
inkosazana	in{kosaz}ana
inkosi	in{kosi}
inkosikazi	in{kosi}kazi
inkosinkulu	in{kosinkulu}
inkulu	in{kulu}
inkululeko	in{kululeko}
inkulumo	in{kulumo}
inkulungwane	in{kulungw}ane
inkunzi	in{kunzi}
inoveli	ino{veli}
inqobo	in{qobo}
inqola	in{qola}
inqondo	in{qondo}
inqubekela	in{qubekela}
inqubekelaphambili	in{qubekelaphambili}
inqubo	in{qubo}
inqunywa	in{qunywa}
inqunywe	in{qunywe}
inqwaba	in{qwaba}
insila	in{sila}
insimbi	in{simbi}
insizwa	in{sizwa}
insumansumane	in{sumansum}ane
intaba	in{taba}
intambo	in{tambo}
intamo	in{tamo}
intandokazi	in{tando}kazi
intela	in{tela}
into	in{to}
intokozo	in{tokozo}
intombazana	in{tombaz}ana
intombazane	in{tombaz}ane
intombazanyana	in{tombazany}ana
intombe	in{tombe}
intombi	in{tombi}
intoni	in{toni}
intsheleko	in{tsheleko}
intuthu	in{tuthu}
intuthuko	in{tuthuko}
intwana	in{tw}ana
inxeba	in{xeba}
inyama	iny{ama}
inyanga	iny{anga}
inyongo	iny{ongo}
inyumbazane	iny{umbaz}ane
inyumoniya	iny{umoniya}
inzondo	in{zondo}
iphakathi	i{phakathi}
iphambili	i{phambili}
iphaphu	i{phaphu}
iphatha	i{phatha}
iphathwa	i{phathwa}
iphathwe	i{phathw}e
iphela	i{phela}
iphele	i{phel}e
iphelela	i{phelela}
iphelele	i{phelel}e
iphelelwa	i{phelelwa}
iphelelwe	i{phelelw}e
iphenduka	i{phenduka}
iphenduke	i{phenduk}e
iphendula	i{phendula}
iphepha	i{phepha}
iphephandaba	i{phephandaba}
iphephile	i{pheph}ile
iphethe	i{pheth}e
iphethini	i{phethini}
iphethishini	i{phethishini}
iphezulu	i{phezulu}
iphi	i{phi}
iphike	i{phik}e
iphikisana	i{phikis}ana
iphile	i{ph}ile
iphimbo	i{phimbo}
iphinda	i{phinda}
iphinde	i{phind}e
iphindele	i{phindel}e
