a	A:
fakse	f a k s @
faks	f a k s
faksies	f a k s i s
faksmasjiene	f a k s m a S i n @
faksmasjien	f a k s m a S i n
faksnommer	f a k s n O m @ r
faktore	f a k t u@ r @
faktor	f a k t O r
fakture	f a k t y r @
faktuur	f a k t y r
fakulteite	f a k 9 l t @i t @
fakulteit	f a k 9 l t @i t
fakulteitsreël	f a k 9 l t @i t s r i@ l
familiebande	f a m i l i b a n d @
familie	f a m i l i
familiegeskiedenis	f a m i l i x @ s k i d @ n @ s
familielede	f a m i l i l i@ d @
familielid	f a m i l i l @ t
familiereg	f a m i l i r { x
families	f a m i l i s
familievriend	f a m i l i f r i n t
fanatieke	f a n a t i k @
fanatiese	f a n A: t i s @
fanfare	f a n f A: r @
fanie	f A: n i
fantasie	f a n t a s i
fantastiese	f a n t a s t i s @
fantasties	f a n t a s t i s
farao	f A: r a u@
farmakologie	f a r m a k u l u x i
farmakologiese	f a r m a k u l u@ x i s @
farmaseutiese	f a r m a s 2: t i s @
fasediagramme	f A: s @ d i a x r a m @
faseer	f a s i@ r
fase	f A: s @
fases	f A: s @ s
faset	f a s E t
fasette	f a s E t @
fasiliteerder	f a s @ l i t i@ r d @ r
fasiliteer	f a s @ l i t i@ r
fasiliteite	f a s @ l i t @i t @
fasiliteit	f a s @ l i t @i t
fassineer	f a s i n i@ r
fassinerende	f a s i n i@ r @ n d @
fassinerend	f a s i n i@ r @ n t
fataal	f a t A: l
federale	f E d @ r A: l @
federalisme	f E d @ r a l @ s m @
federasie	f E d @ r A: s i
fee	f i@
feesdae	f i@ s d A: @
fees	f i@ s
feesgangers	f i@ s x a N @ r s
feesgevier	f i@ s x @ f i r
feesmaal	f i@ s m A: l
feesprogram	f i@ s p r u x r a m
feesseisoen	f i@ s @i s u n
feeste	f i@ s t @
feestelike	f i@ s t @ l @ k @
feestelik	f i@ s t @ l @ k
feestelikhede	f i@ s t @ l @ k h\ i@ d @
feesterrein	f i@ s t @ r @i n
feestyd	f i@ s t @i t
feesvier	f i@ s f i r
feesvieringe	f i@ s f i r @ N @
feesviering	f i@ s f i r @ N
feesvierings	f i@ s f i r @ N s
feite	f @i t @
feitekennis	f @i t @ k E n @ s
feitelik	f @i t @ l @ k
feitestel	f @i t @ s t { l
feitestelle	f @i t @ s t { l @
feit	f @i t
feitlik	f @i t l @ k
fel	f { l
felle	f { l @
felste	f { l s t @
feminis	f E m i n @ s
feminisme	f E m i n @ s m @
feministiese	f E m @ n @ s t i s @
femme	f E m
femur	f i@ m 9 r
fenomenaal	f i n u m i n A: l
fenomenale	f i n u m i n A: l @
feodale	f i u d A: l @
ferm	f { r m
feta	f E t a
fetus	f i@ t 9 s
fetusse	f i@ t 9 s @
fiasko	f i a s k u
fides	f i d @ s
fidusiêre	f @ d u s i { r @
fieterjasies	f i t @ r j A: s i s
fietse	f i t s @
fiets	f i t s
fietsryer	f i t s r @i @ r
fietsryers	f i t s r @i @ r s
fietsry	f i t s r @i
fietstoer	f i t s t u r
fietswedren	f i t s v E t r E n
figuratiewe	f i x y r a t i v @
figureer	f @ x y r i@ r
figure	f @ x y r @
figuur	f @ x y r
figuurlik	f @ x y r l @ k
fiks	f @ k s
fiksheid	f @ k s h\ @i t
fiksie	f @ k s i
fiktiewe	f @ k t i v @
filamente	f i l a m E n t @
filharmoniese	f @ l h\ a r m u@ n i s @
filiaal	f @ l i A: l
filiale	f @ l i A: l @
filippynse	f @ l @ p @i n s @
film	f @ l m
films	f @ l m s
filosofieë	f i l u s u f i @
filosofie	f i l u s u@ f i
filosofiese	f i l u s u@ f i s @
filosofies	f i l u s u@ f i s
filosoof	f i l u s u@ f
filosowe	f i l u s u@ v @
filter	f @ l t @ r
filters	f @ l t @ r s
filtrasie	f @ l t r A: s i
filtreer	f @ l t r i@ r
finaal	f i n A: l
finale	f i n A: l @
finaliseer	f i n a l i s i@ r
finalis	f i n a l @ s
finaliste	f i n a l @ s t @
finansieel	f i n a n s i i@ l
finansiële	f i n a n s i i@ l @
finansierders	f i n a n s i r d @ r s
finansier	f i n a n s i r
finansiering	f i n a n s i r @ N
finansieringskoste	f i n a n s i r @ N s k O s t @
finansies	f i n a n s i s
firma	f @ r m a
firmas	f @ r m a s
fisieke	f @ s i k @
fisiek	f @ s i k
fisiese	f i s i s @
fisies	f i s i s
fisika	f i s i k a
fisikus	f i s i k 9 s
fisiologie	f i S i u l u x i
fisiologiese	f i S i u l u@ x i s @
fisioterapeute	f i S i u t E r a p 2: t @
fiskale	f i s k A: l @
fladder	f l a d @ r
flagrante	f l a x r a n t @
flambojante	f l a m b u j a n t @
flankeer	f l a N k i@ r
flanke	f l a N k @
flank	f l a N k
flarde	f l a r d @
flaters	f l A: t @ r s
fleksie	f l E k s i
flenters	f l E n t @ r s
fles	f l E s
fleur	f l 2: r
fliek	f l i k
fliekgangers	f l i k x a N @ r s
flieks	f l i k s
fliekvlooie	f l i k f l u@ i @
flikkerende	f l @ k @ r @ n d @
flikker	f l @ k @ r
flink	f l @ N k
flint	f l @ n t
flitsende	f l @ t s @ n d @
flits	f l @ t s
flitskaarte	f l @ t s k A: r t @
flora	f l O r a
floreer	f l u r i@ r
flou	f l @u
flous	f l @u s
fluister	f l 9y s t @ r
fluit	f l 9y t
fluitjie	f l 9y k i
fluitspeler	f l 9y t s p i@ l @ r
fluks	f l 9 k s
fnuik	f n 9y k
foei	f u i
foelie	f u l i
fokalisasie	f u k a l i s A: s i
fokalisator	f u k a l i s A: t O r
fok	f O k
fokus	f u@ k 9 s
fokusgroepe	f u@ k 9 s x r u p @
fokuspunte	f u@ k 9 s p 9 n t @
fokuspunt	f u@ k 9 s p 9 n t
foliensuur	f u l i n s y r
folio	f u@ l i u
folk	f O l k
fondamente	f O n d a m E n t @
fondament	f O n d a m E n t
fondsbestuurder	f O n t s b @ s t y r d @ r
fondse	f O n t s @
fonds	f O n t s
fonetiese	f u@ n i@ t i s @
fontein	f O n t @i n
font	f O n t
fooie	f u@ i @
foon	f u@ n
fordsburg	f O r t s b 9 r x
forel	f u r { l
forensiese	f u r E n s i s @
formaat	f O r m A: t
formalisme	f O r m a l @ s m @
formaliteite	f O r m a l i t @i t @
formasie	f O r m A: s i
formasies	f O r m A: s i s
formateer	f O r m a t i@ r
formatering	f O r m a t i@ r @ N
formatief	f O r m a t i f
formeel	f O r m i@ l
formele	f O r m i@ l @
formidabele	f O r m i d A: b @ l @
formuleer	f O r m y l i@ r
formule	f O r m y l @
formulering	f O r m y l i@ r @ N
formulerings	f O r m y l i@ r @ N s
forseer	f O r s i@ r
forte	f O r t @i
fort	f O r t
fortuin	f O r t 9y n
forum	f u@ r 9 m
forums	f u@ r 9 m s
fosfor	f O s f O r
fossiel	f O s i l
foto	f u@ t u
fotograaf	f u@ t u x r A: f
fotografie	f u@ t u x r a f i
fotografiese	f u@ t u x r A: f i s @
fotograwe	f u@ t u x r A: v @
fotone	f u@ t u@ n @
foton	f u@ t O n
fotosessie	f u@ t u s E s i
fotosintetiese	f u@ t u s @ n t i@ t i s @
fotostate	f u@ t u s t A: t @
foutbal	f @u t b a l
fouteer	f @u t i@ r
foute	f @u t @
fout	f @u t
foutief	f @u t i f
foutiewe	f @u t i v @
foutloos	f @u t l u@ s
fraai	f r A: i
fragmentasie	f r a x m E n t A: s i
fragmente	f r a x m E n t @
fragmentering	f r a x m E n t i@ r @ N
fragment	f r a x m E n t
fraksie	f r a k s i
frakture	f r a k t y r @
fraktuur	f r a k t y r
franchise	f r { n S A: i s
frankfort	f r a N k f O r t
frank	f r a N k
frankfurtse	f r a N k f u r t s @
fransman	f r A: n s m a n
franssprekende	f r A: n s p r i@ k @ n d @
frase	f r A: s @
frasering	f r a s i@ r @ N
fratsongeluk	f r a t s O n x @ l 9 k
frieda	f r i d a
fris	f r @ s
frons	f r O n s
front	f r O n t
frustrasie	f r 9 s t r A: s i
frustrasies	f r 9 s t r A: s i s
frustreer	f r 9 s t r i@ r
frustrerende	f r 9 s t r i@ r @ n d @
frustrerend	f r 9 s t r i@ r @ n t
fuga	f y x a
fundamentaliste	f 9 n d a m E n t a l @ s t @
fundamentalistiese	f 9 n d a m E n t a l @ s t i s @
fundamentele	f 9 n d a m E n t i@ l @
fundering	f 9 n d i@ r @ N
fundi	f u n d i
funk	f a N k
funksie	f 9 N k s i
funksies	f 9 N k s i s
funksionalistiese	f 9 N k S u n a l @ s t i s @
funksionaliteit	f 9 N k S u n a l i t @i t
funksioneer	f 9 N k S i u n i@ r
funksionele	f 9 N k S i u n i@ l @
funksionering	f 9 N k S i u n i@ r @ N
fut	f 9 t
futiel	f 9 t i l
fynbos	f @i n b O s
fyner	f @i n @ r
fyn	f @i n
fyngekap	f @i n x @ k a p
fyngekapte	f @i n x @ k a p t @
fynkam	f @i n k a m
fynproewer	f @i n p r u v @ r
fynproewers	f @i n p r u v @ r s
fynste	f @i n s t @
gaandeweg	x A: n d @ v { x
gaande	x A: n d @
gaan	x A: n
gaar	x A: r
gaas	x A: s
gaatjie	x A: i k i
gades	x A: d @ s
gade	x A: d @
gala	g A: l a
galakonsert	g A: l a k O n s { r t
galant	x a l a n t
galblaas	x a l b l A: s
galerye	x a l @ r @i @
galery	x a l @ r @i
galg	x a l x
galop	x a l O p
gal	x a l
gamma	g a m a
ganga	g a N g a
gangetjie	x a N i k i
gange	x a N @
gang	x a N
ganse	x a n s @
gans	x a n s
gapende	x A: p @ n d @
gapings	x A: p @ N s
gaping	x A: p @ N
garde	x a r d @
garnering	x a r n i@ r @ N
garnisoen	x a r n i s u n
gasheer	x a s h\ i@ r
gaskunstenaars	x a s k 9 n s t @ n A: r s
gaskunstenaar	x a s k 9 n s t @ n A: r
gasse	x a s @
gasspreker	x a s p r i@ k @ r
gastehuise	x a s t @ h\ 9y s @
gastehuis	x a s t @ h\ 9y s
gastekamer	x a s t @ k A: m @ r
gaste	x a s t @
gastriese	x a s t r i s @
gastroïntestinale	x a s t r u @ n t E s t @ n A: l @
gastro	x a s t r u
gasvrou	x a s f r @u
gasvryheidsbedryf	x a s f r @i h\ @i t s b @ d r @i f
gasvryheid	x a s f r @i h\ @i t
gaswisseling	x a s v @ s @ l @ N
gas	x a s
gate	x A: t @
gat	x a t
gautengse	x a u t E N s @
gawes	x A: v @ s
gawe	x A: v @
gay	g @i
gays	g @i s
geaardheid	x @ A: r t h\ @i t
geabsorbeer	x @ a b s O r b i@ r
geadministreer	x @ a t m @ n @ s t r i@ r
geadverteerde	x @ a t f @ r t i@ r d @
geadverteer	x @ a t f @ r t i@ r
geaffekteerde	x @ a f E k t i@ r d @
geaffilieerde	x @ a f @ l i i@ r d @
geaffilieer	x @ a f @ l i i@ r
geagte	x @ a x t @
geag	x @ a x
geakkommodeer	x @ a k u m u d i@ r
geaktiveerde	x @ a k t i f i@ r d @
geaktiveer	x @ a k t i f i@ r
geallieerdes	x @ a l i i@ r d @ s
geallieerde	x @ a l i i@ r d @
geamuseerd	x @ a m y s i@ r t
geanaliseer	x @ a n a l i s i@ r
geanimeerde	x @ a n @ m i@ r d @
geanker	x @ a N k @ r
geannoteerde	x @ a n u t i@ r d @
geantwoord	x @ a n t v u@ r t
geargumenteer	x @ a r x y m E n t i@ r
gearresteer	x @ a r @ s t i@ r
geassosieer	x @ a s u@ s i i@ r
gebaan	x @ b A: n
gebaar	x @ b A: r
gebaat	x @ b A: t
gebad	x @ b a t
gebaklei	x @ b a k l @i
gebak	x @ b a k
gebalanseerde	x @ b a l a n s i@ r d @
gebalanseerd	x @ b a l a n s i@ r t
gebalanseer	x @ b a l a n s i@ r
gebalde	x @ b a l d @
gebars	x @ b a r s
gebaseer	x @ b a s i@ r
gebasseer	x @ b a s i@ r
gebede	x @ b i@ d @
gebed	x @ b E t
gebeeldsaai	x @ b i@ l t s A: i
gebeeldsend	x @ b i@ l t s E n t
gebel	x @ b { l
geberg	x @ b { r x
gebeurde	x @ b 2: r d @
gebeure	x @ b 2: r @
gebeurlikheidsplanne	x @ b 2: r l @ k h\ @i t s p l a n @
gebeurlikheid	x @ b 2: r l @ k h\ @i t
gebeurtenisse	x @ b 2: r t @ n @ s @
gebeurtenis	x @ b 2: r t @ n @ s
gebeur	x @ b 2: r
gebid	x @ b @ t
gebiedend	x @ b i d @ n t
gebiede	x @ b i d @
gebiedsvoordeel	x @ b i t s f u@ r d i@ l
gebied	x @ b i t
gebieg	x @ b i x
gebie	x @ b i
gebind	x @ b @ n t
geblaas	x @ b l A: s
geblaf	x @ b l a f
geblameer	x @ b l a m i@ r
geblikte	x @ b l @ k t @
geblinddoek	x @ b l @ n d u k
geblokkeer	x @ b l O k i@ r
geblom	x @ b l O m
geblus	x @ b l 9 s
geblyk	x @ b l @i k
gebly	x @ b l @i
gebod	x @ b O t
geboei	x @ b u i
geboekstaaf	x @ b u k s t A: f
geboender	x @ b u n d @ r
geboer	x @ b u r
geboë	x @ b u@ @
geboks	x @ b O k s
gebombardeer	x @ b O m b a r d i@ r
gebondenheid	x @ b O n d @ n h\ @i t
gebonde	x @ b O n d @
gebooie	x @ b u@ i @
geboortebeperking	x @ b u@ r t @ b @ p { r k @ N
geboortedatum	x @ b u@ r t @ d A: t 9 m
geboortedorp	x @ b u@ r t @ d O r p
geboorteland	x @ b u@ r t @ l a n t
geboorteplek	x @ b u@ r t @ p l { k
geboorteproses	x @ b u@ r t @ p r u s E s
geboortesertifikaat	x @ b u@ r t @ s { r t @ f i k A: t
geboorte	x @ b u@ r t @
geboor	x @ b u@ r
geborduurde	x @ b O r d y r d @
gebore	x @ b u@ r @
geborgde	x @ b O r x d @
geborgenheid	x @ b O r g @ n h\ @i t
geborg	x @ b O r x
gebots	x @ b O t s
gebottelde	x @ b O t @ l d @
geboude	x @ b @u d @
geboue	x @ b @u @
geboul	x @ b @u l
gebou	x @ b @u
gebraaide	x @ b r A: i d @
gebraai	x @ b r A: i
gebrande	x @ b r a n d @
gebrandmerk	x @ b r a n t m { r k
gebrand	x @ b r a n t
gebreekte	x @ b r i@ k t @
gebreek	x @ b r i@ k
gebreide	x @ b r @i d @
gebreke	x @ b r i@ k @
gebrekkige	x @ b r { k @ x @
gebrek	x @ b r { k
gebring	x @ b r @ N
gebrokenheid	x @ b r u@ k @ n h\ @i t
gebroke	x @ b r u@ k @
gebrom	x @ b r O m
gebruikersvriendelike	x @ b r 9y k @ r s f r i n d @ l @ k @
gebruikersvriendelik	x @ b r 9y k @ r s f r i n d @ l @ k
gebruikers	x @ b r 9y k @ r s
gebruiker	x @ b r 9y k @ r
gebruike	x @ b r 9y k @
gebruiklike	x @ b r 9y k l @ k @
gebruiklik	x @ b r 9y k l @ k
gebruikmaking	x @ b r 9y k m A: k @ N
gebruiksfrekwensie	x @ b r 9y k s f r i k w E n s i
gebruiksvoorwaardes	x @ b r 9y k s f u@ r v A: r d @ s
gebruikswaarde	x @ b r 9y k s v A: r d @
gebruikte	x @ b r 9y k t @
gebruik	x @ b r 9y k
gebrul	x @ b r 9 l
gebuig	x @ b 9y x
gebuit	x @ b 9y t
gebukkend	x @ b 9 k @ n t
gebuk	x @ b 9 k
gebyt	x @ b @i t
gedaag	x @ d A: x
gedaal	x @ d A: l
gedaante	x @ d A: n t @
gedaan	x @ d A: n
gedagtegang	x @ d a x t @ x a N
gedagtenis	x @ d a x t @ n @ s
gedagtes	x @ d a x t @ s
gedagte	x @ d a x t @
gedagtig	x @ d a x t @ x
gedagvaar	x @ d a x f A: r
gedans	x @ d A: n s
gedebatteer	x @ d E b a t i@ r
gedebiteer	x @ d E b i t i@ r
gedeelde	x @ d i@ l d @
gedeeltelike	x @ d i@ l t @ l @ k @
gedeeltelik	x @ d i@ l t @ l @ k
gedeeltes	x @ d i@ l t @ s
gedeelte	x @ d i@ l t @
gedeel	x @ d i@ l
gedefinieerde	x @ d E f @ n i i@ r d @
gedefinieer	x @ d E f i n i i@ r
gedefinieër	x @ d E f @ n i i@ r
gedek	x @ d { k
gedelegeer	x @ d @ l i x i@ r
gedempte	x @ d E m p t @
gedemp	x @ d E m p
gedenkdiens	x @ d E N k d i n s
gedenkplaat	x @ d E N k p l A: t
gedenkwaardighede	x @ d E N k v A: r d @ x h\ i@ d @
gedenkwaardigheid	x @ d E N k v A: r d @ x h\ @i t
gedenk	x @ d E N k
gedentifiseer	x @ d E n t i f i s i@ r
gedeponeer	x @ d E p u n i@ r
gedeporteer	x @ d E p O r t i@ r
gedetailleerde	x @ d i t @i l i@ r d @
gedevalueer	x @ d i@ v a l y i@ r
gediagnoseer	x @ d i a x n u s i@ r
gedien	x @ d i n
gedierte	x @ d i r t @
gedifferensieerde	x @ d @ f @ r E n S i i@ r d @
gediggie	x @ d @ x i
gedigte	x @ d @ x t @
gedig	x @ d @ x
gedikteer	x @ d @ k t i@ r
gedinge	x @ d @ N @
gedingsparty	x @ d @ N s p a r t @i
geding	x @ d @ N
gedink	x @ d @ N k
gedirigeer	x @ d @ r @ x i@ r
gediskrimineer	x @ d @ s k r @ m @ n i@ r
gediskwalifiseer	x @ d @ s k w a l i f i s i@ r
gedissiplineerde	x @ d @ s @ p l i n i@ r d @
gedissiplineerd	x @ d @ s @ p l i n i@ r t
gedistansieer	x @ d @ s t a n s i i@ r
gediversifiseerde	x @ d i v { r s i f i s i@ r d @
gedoem	x @ d u m
gedoente	x @ d u n t @
gedoen	x @ d u n
gedog	x @ d O x
gedokumenteer	x @ d O k y m E n t i@ r
gedomineer	x @ d O m i n i@ r
gedompel	x @ d O m p @ l
gedood	x @ d u@ t
gedoop	x @ d u@ p
gedoseer	x @ d u s i@ r
gedraai	x @ d r A: i
gedraf	x @ d r a f
gedragskodes	x @ d r a x s k u@ d @ s
gedragskode	x @ d r a x s k u@ d @
gedragspatrone	x @ d r a x s p a t r u@ n @
gedragsterapie	x @ d r a x s t E r a p i
gedragsverandering	x @ d r a x s f @ r a n d @ r @ N
gedrags	x @ d r a x s
gedrag	x @ d r a x
gedrang	x @ d r a N
gedra	x @ d r A:
gedreig	x @ d r @i x
gedreun	x @ d r 2: n
gedrewe	x @ d r i@ v @
gedrink	x @ d r @ N k
gedroogde	x @ d r u@ x d @
gedroog	x @ d r u@ x
gedroom	x @ d r u@ m
gedruip	x @ d r 9y p
gedruis	x @ d r 9y s
gedrukte	x @ d r 9 k t @
gedruk	x @ d r 9 k
gedryf	x @ d r @i f
gedugte	x @ d 9 x t @
geduik	x @ d 9y k
gedui	x @ d 9y
geduldig	x @ d 9 l d @ x
geduld	x @ d 9 l t
gedupliseer	x @ d u p l i s i@ r
gedurende	x @ d y r @ n d @
gedurig	x @ d y r @ x
geduur	x @ d y r
gedwee	x @ d w i@
gedwing	x @ d w @ N
gedwonge	x @ d w O N @
gedy	x @ d @i
geëer	x @ i@ r
geëet	x @ i@ t
geëis	x @ @i s
geëksperimenteer	x @ E k s p E r i m E n t i@ r
geelhout	x i@ l h\ @u t
geelkoors	x i@ l k u@ r s
geelsug	x i@ l s 9 x
geelvis	x i@ l f @ s
geelwortel	x i@ l v O r t @ l
geel	x i@ l
geëmigreer	x @ E m @ x r i@ r
geeneen	x i@ n i@ n
geensins	x i@ n s @ n s
geen	x i@ n
geërf	x @ { r f
geesdriftiges	x i@ s d r @ f t @ x @ s
geesdriftige	x i@ s d r @ f t @ x @
geesdriftig	x i@ s d r @ f t @ x
geesdrif	x i@ s d r @ f
geesgenote	x i@ s x @ n u@ t @
geestelike	x i@ s t @ l @ k @
geestelik	x i@ s t @ l @ k
geestesgesondheidsorg	x i@ s t @ s x @ s O n t h\ @i t s O r x
geestesoog	x i@ s t @ s u@ x
geestestoestand	x i@ s t @ s t u s t a n t
geesteswetenskaplike	x i@ s t @ s v i@ t @ n s k a p l @ k @
geeste	x i@ s t @
gees	x i@ s
geëtiketteer	x @ E t i k E t i@ r
geëvalueer	x @ i@ v a l y i@ r
geëwenaar	x @ i@ v @ n A: r
gee	x i@
gefaal	x @ f A: l
gefaks	x @ f a k s
gefasiliteer	x @ f a s @ l i t i@ r
gefassineer	x @ f a s i n i@ r
gefinaliseer	x @ f i n a l i s i@ r
gefinansier	x @ f i n a n s i r
geflits	x @ f l @ t s
geflous	x @ f l @u s
gefluit	x @ f l 9y t
gefnuik	x @ f n 9y k
gefokus	x @ f u@ k 9 s
geformuleerde	x @ f O r m y l i@ r d @
geformuleer	x @ f O r m y l i@ r
geforseerde	x @ f O r s i@ r d @
gefrustreerd	x @ f r 9 s t r i@ r t
gefundeerde	x @ f 9 n d i@ r d @
gefunksioneer	x @ f 9 N k S i u n i@ r
gefynkam	x @ f @i n k a m
gegaan	x @ x A: n
gegee	x @ x i@
gegeld	x @ x { l t
gegenereer	x @ x @ n @ r i@ r
gegeurde	x @ x 2: r d @
gegeur	x @ x 2: r
gegewens	x @ x i@ v @ n s
gegewe	x @ x i@ v @
gegiet	x @ x i t
gegil	x @ x @ l
gegis	x @ x @ s
geglimlag	x @ x l @ m l a x
geglip	x @ x l @ p
geglo	x @ x l u@
gegly	x @ x l @i
gegoede	x @ x u d @
gegons	x @ x O n s
gegooi	x @ x u@ i
gegradeer	x @ x r a d i@ r
gegradueerdes	x @ x r a d y i@ r d @ s
gegradueerde	x @ x r a d y i@ r d @
gegrawe	x @ x r A: v @
gegrief	x @ x r i f
gegroei	x @ x r u i
gegroepeerde	x @ x r u p i@ r d @
gegroepeer	x @ x r u p i@ r
gegroet	x @ x r u t
gegronde	x @ x r O n d @
gegrond	x @ x r O n t
gegryp	x @ x r @i p
gegun	x @ x 9 n
gehaak	x @ h\ A: k
gehaal	x @ h\ A: l
gehaas	x @ h\ A: s
gehad	x @ h\ A: t
gehaltebeheer	x @ h\ a l t @ b @ h\ i@ r
gehalte	x @ h\ a l t @
gehandel	x @ h\ a n d @ l
gehandhaaf	x @ h\ a n t h\ A: f
gehang	x @ h\ a N
gehanteer	x @ h\ a n t i@ r
geharde	x @ h\ a r d @
gehardloop	x @ h\ a r t l u@ p
gehate	x @ h\ A: t @
gehawende	x @ h\ A: v @ n d @
geheelbeeld	x @ h\ i@ l b i@ l t
geheel	x @ h\ i@ l
geheers	x @ h\ i@ r s
geheet	x @ h\ i@ t
gehef	x @ h\ E f
geheg	x @ h\ { x
geheilig	x @ h\ @i l @ x
geheimenisse	x @ h\ @i m @ n @ s @
geheime	x @ h\ @i m @
geheimhouding	x @ h\ @i m h\ @u d @ N
geheimsinnige	x @ h\ @i m s @ n @ x @
geheim	x @ h\ @i m
gehelp	x @ h\ { l p
gehengel	x @ h\ E N @ l
geherstruktureer	x @ h\ { r s t r 9 k t S y r i@ r
geheue	x @ h\ 2: @
gehinder	x @ h\ @ n d @ r
geholpe	x @ h\ O l p @
gehoop	x @ h\ u@ p
gehoorbuis	x @ h\ u@ r b 9y s
gehoorsaamheid	x @ h\ u@ r s A: m h\ @i t
gehoorsaam	x @ h\ u@ r s A: m
gehoor	x @ h\ u@ r
gehore	x @ h\ u@ r @
gehou	x @ h\ @u
gehuil	x @ h\ 9y l
gehuisves	x @ h\ 9y s f E s
gehuiwer	x @ h\ 9y v @ r
gehuldig	x @ h\ 9 l d @ x
gehul	x @ h\ 9 l
gehuurde	x @ h\ y r d @
gehuur	x @ h\ y r
gehys	x @ h\ @i s
geïdealiseerde	x @ i d i a l i s i@ r d @
geïdentifiseerde	x @ i d E n t i f i s i@ r d @
geïdentifiseer	x @ i d E n t i f i s i@ r
geïgnoreer	x @ i x n u r i@ r
geil	x @i l
geïmplementeer	x @ @ m p l @ m E n t i@ r
geïmpliseerde	x @ @ m p l i s i@ r d @
geïndividualiseer	x @ @ n d @ v @ d y a l i s i@ r
geïnisieer	x @ i n i s i i@ r
geïnkorporeer	x @ @ n k O r p u r i@ r
geïnspireer	x @ @ n s p i r i@ r
geïntegreerde	x @ @ n t @ x r i@ r d @
geïntegreerd	x @ @ n t @ x r i@ r t
geïntegreer	x @ @ n t @ x r i@ r
geïrriteerd	x @ i r @ t i@ r t
geïsoleerd	x @ i s u l i@ r t
gejaagde	x @ j A: x d @
gejaag	x @ j A: x
gejag	x @ j a x
gejuig	x @ j 9y x
gekaapte	x @ k A: p t @
gekaap	x @ k A: p
gekalmeer	x @ k a l m i@ r
gekam	x @ k a m
gekanaliseer	x @ k a n a l i s i@ r
gekanselleer	x @ k a n s @ l i@ r
gekantel	x @ k a n t @ l
gekant	x @ k a n t
gekapitaliseer	x @ k a p i t a l i s i@ r
gekapte	x @ k a p t @
gekap	x @ k a p
gekarteer	x @ k a r t i@ r
gekastreer	x @ k a s t r i@ r
gekasty	x @ k a s t @i
gekategoriseer	x @ k a t @ x u r i s i@ r
gekeer	x @ k i@ r
gekelder	x @ k { l d @ r
gekenmerk	x @ k E n m { r k
geken	x @ k E n
gekerf	x @ k { r f
gekeurde	x @ k 2: r d @
gekeur	x @ k 2: r
gekibbel	x @ k @ b @ l
gekies	x @ k i s
gekke	x { k @
geklap	x @ k l a p
geklassifiseer	x @ k l a s i f i s i@ r
gekla	x @ k l A:
gekleed	x @ k l i@ t
geklee	x @ k l i@
gekleurdes	x @ k l 2: r d @ s
gekleurde	x @ k l 2: r d @
gekleurd	x @ k l 2: r t
gekleur	x @ k l 2: r
geklim	x @ k l @ m
geklink	x @ k l @ N k
geklits	x @ k l @ t s
geklop	x @ k l O p
geklouter	x @ k l @u t @ r
geklou	x @ k l @u
geknak	x @ k n a k
geknel	x @ k n { l
gekneusde	x @ k n 2: s d @
gekneus	x @ k n 2: s
gekniehalter	x @ k n i h\ a l t @ r
gekniel	x @ k n i l
geknik	x @ k n @ k
geknip	x @ k n @ p
geknoop	x @ k n u@ p
geknou	x @ k n @u
gekodeerde	x @ k u d i@ r d @
gekoester	x @ k u s t @ r
gekolf	x @ k O l f
gekoloniseer	x @ k O l u n i s i@ r
gekombineerde	x @ k O m b i n i@ r d @
gekombineer	x @ k O m b i n i@ r
gekommunikeer	x @ k O m y n i k i@ r
gekompliseerde	x @ k O m p l i s i@ r d @
gekompliseer	x @ k O m p l i s i@ r
gekomponeer	x @ k O m p u n i@ r
gekom	x @ k O m
gekonfiskeer	x @ k O n f @ s k i@ r
gekonfronteer	x @ k O n f r O n t i@ r
gekonjugeerde	x @ k O n j y x i@ r d @
gekonkel	x @ k O N k @ l
gekonsentreerde	x @ k O n s @ n t r i@ r d @
gekonsentreerd	x @ k O n s @ n t r i@ r t
gekonsentreer	x @ k O n s E n t r i@ r
gekonsolideer	x @ k O n s O l @ d i@ r
gekonsulteer	x @ k O n s 9 l t i@ r
gekontak	x @ k O n t a k
gekontrakteerde	x @ k O n t r a k t i@ r d @
gekontrasteer	x @ k O n t r a s t i@ r
gekontroleer	x @ k O n t r u l i@ r
gekook	x @ k u@ k
gekoop	x @ k u@ p
gekopieer	x @ k u@ p i i@ r
gekoppelde	x @ k O p @ l d @
gekoppel	x @ k O p @ l
gekorrel	x @ k O r @ l
gekortwiek	x @ k O r t v i k
gekose	x @ k u@ s @
gekos	x @ k O s
gekraai	x @ k r A: i
gekraakte	x @ k r A: k t @
gekraak	x @ k r A: k
gekrap	x @ k r a p
gekrediteer	x @ k r E d i t i@ r
gekrenk	x @ k r E N k
gekreun	x @ k r 2: n
gekrimp	x @ k r @ m p
gekritiseer	x @ k r @ t i s i@ r
gekroon	x @ k r u@ n
gekruip	x @ k r 9y p
gekruisig	x @ k r 9y s @ x
gekruiste	x @ k r 9y s t @
gekruis	x @ k r 9y s
gekry	x @ k r @i
gekuier	x @ k 9y @ r
gekul	x @ k 9 l
gekwalifiseerde	x @ k w a l i f i s i@ r d @
gekwalifiseerd	x @ k w a l @ f i s i@ r t
gekwalifiseer	x @ k w a l i f i s i@ r
gekwantifiseer	x @ k w a n t i f i s i@ r
gekweek	x @ k w i@ k
gekweste	x @ k w E s t @
gekwoteer	x @ k w u t i@ r
gekwyt	x @ k w @i t
